TimeSeconds,Power [W],CumulativeEnergy,Status
292.0,1.05,301.17000000000024,At Work (In the Office)
293.0,0.995,302.16500000000025,At Work (In the Office)
294.0,0.99,303.15500000000026,At Work (In the Office)
295.0,1.01,304.16500000000025,At Work (In the Office)
296.0,1.01,305.17500000000024,At Work (In the Office)
297.0,1.16,306.33500000000026,At Work (In the Office)
298.0,1.01,307.34500000000025,At Work (In the Office)
299.0,0.995,308.34000000000026,At Work (In the Office)
300.0,1.22,309.5600000000003,At Work (In the Office)
301.0,0.99,310.5500000000003,At Work (In the Office)
302.0,0.975,311.5250000000003,At Work (In the Office)
303.0,1.05,312.57500000000033,At Work (In the Office)
304.0,0.99,313.56500000000034,At Work (In the Office)
305.0,1.02,314.5850000000003,At Work (In the Office)
306.0,1.08,315.6650000000003,At Work (In the Office)
307.0,1.14,316.8050000000003,At Work (In the Office)
308.0,0.99,317.7950000000003,At Work (In the Office)
309.0,0.975,318.7700000000003,At Work (In the Office)
310.0,0.985,319.75500000000034,At Work (In the Office)
311.0,1.03,320.7850000000003,At Work (In the Office)
312.0,0.975,321.76000000000033,At Work (In the Office)
313.0,1.11,322.87000000000035,At Work (In the Office)
314.0,0.995,323.86500000000035,At Work (In the Office)
315.0,0.99,324.85500000000036,At Work (In the Office)
316.0,1.08,325.93500000000034,At Work (In the Office)
317.0,0.975,326.91000000000037,At Work (In the Office)
318.0,1.01,327.92000000000036,At Work (In the Office)
319.0,0.975,328.8950000000004,At Work (In the Office)
320.0,0.99,329.8850000000004,At Work (In the Office)
321.0,1.23,331.1150000000004,At Work (In the Office)
322.0,0.975,332.09000000000043,At Work (In the Office)
323.0,1.01,333.1000000000004,At Work (In the Office)
324.0,1.04,334.14000000000044,At Work (In the Office)
325.0,1.11,335.25000000000045,At Work (In the Office)
326.0,1.04,336.2900000000005,At Work (In the Office)
327.0,1.16,337.4500000000005,At Work (In the Office)
328.0,0.99,338.4400000000005,At Work (In the Office)
329.0,1.16,339.60000000000053,At Work (In the Office)
330.0,0.99,340.59000000000054,At Work (In the Office)
331.0,0.99,341.58000000000055,At Work (In the Office)
332.0,0.99,342.57000000000056,At Work (In the Office)
333.0,1.07,343.64000000000055,At Work (In the Office)
334.0,1.06,344.70000000000056,At Work (In the Office)
